id,name,password,is_admin,email
1,admin,password123,TRUE,123
2,user1,pass1,FALSE,123
3,user2,pass2,FALSE,123
4,user3,pass3,FALSE,123
5,user4,pass4,FALSE,123
6,user5,pass5,FALSE,123
7,user6,pass6,FALSE,123
8,user7,pass7,FALSE,123
9,user8,pass8,FALSE,123
10,user9,pass9,FALSE,123
11,user10,pass10,FALSE,123
12,user11,pass11,FALSE,123
13,user12,pass12,FALSE,123
14,user13,pass13,FALSE,123
15,user14,pass14,FALSE,123
16,user15,pass15,FALSE,123
17,user16,pass16,FALSE,123
18,user17,pass17,FALSE,123
19,user18,pass18,FALSE,123
20,user19,pass19,FALSE,123
21,user20,pass20,FALSE,123
22,user21,pass21,FALSE,123
23,user22,pass22,FALSE,123
24,user23,pass23,FALSE,123
25,user24,pass24,FALSE,123
26,user25,pass25,FALSE,123
27,user26,pass26,FALSE,123
28,user27,pass27,FALSE,123
29,user28,pass28,FALSE,123
30,user29,pass29,FALSE,123
31,user30,pass30,FALSE,123
32,user31,pass31,FALSE,123
33,user32,pass32,FALSE,123
34,user33,pass33,FALSE,123
35,user34,pass34,FALSE,123
36,user35,pass35,FALSE,123
37,user36,pass36,FALSE,123
38,user37,pass37,FALSE,123
39,user38,pass38,FALSE,123
40,user39,pass39,FALSE,123
